District_Code,State_Name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Scheduled_Caste,Scheduled_Tribe,Workers_Total,Workers_Male,Workers_Female,Workers_Main,Workers_Marginal,Non_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Households_LPG_PNG,Households_Electric_Lighting,Households_Internet,Households_Computer,Households_Rural,Households_Urban,Households_Total,Education_Literate,Education_Illiterate,Education_Total,Age_0_29,Age_30_49,Age_50_plus,Households_Bicycle,Households_Car,Households_Two_Wheeler,Households_Phone,Households_TV,Households_Bathroom,Households_Toilet,State,District,Latitude,Longitude,Sex_Ratio,Literacy_Rate
4,JAMMU AND KASHMIR,140802,77785,63017,86236,56301,29935,18,122336,51873,39839,12034,28941,22932,88929,10341,108239,604,1171,20126,28,3285,15824,235,1005,40370,7774,48144,82938,39854,122792,87532,35561,17488,488,1847,652,10562,8008,11887,17649,Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,810.1433438323584,61.246289115211425
5,JAMMU AND KASHMIR,476835,251899,224936,261724,163333,98391,556,176101,161393,117677,43716,73247,88146,315442,32604,431279,958,11188,83,10,13160,62900,346,3342,132139,15269,147408,288430,164044,452474,304979,109818,61334,846,1731,2407,36358,16022,19789,16586,Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,892.9610677295266,54.88774943114495
7,JAMMU AND KASHMIR,616435,326109,290326,389204,228499,160705,141224,53307,200431,161548,38883,142847,57584,416004,540063,64234,1828,9551,24,16,32772,109422,1443,6112,181374,33473,214847,426572,181297,607869,357864,160123,97684,17726,4687,23014,88964,66944,47372,26033,Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,890.2728842196934,63.1378815284661
10,JAMMU AND KASHMIR,1236829,651124,585705,748584,431746,316838,1068,8935,407188,333151,74037,330547,76641,829641,42540,1177342,2746,12187,285,74,138119,165403,16413,33831,4518,257721,262239,904049,310225,1214274,693238,351561,190330,44501,34586,39804,157875,152945,164263,164002,Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,899.5291219491219,60.52445406761969
12,JAMMU AND KASHMIR,560440,293064,267376,293958,178326,115632,402,22607,188420,138428,49992,98306,90114,372020,13840,535159,1109,9440,35,6,16828,73629,1537,5293,147520,21703,169223,310482,190369,500851,342601,137032,80111,5479,6164,4551,65162,45967,61749,53836,Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,912.3467911445964,52.451288273499394
16,JAMMU AND KASHMIR,409936,213641,196295,219083,138620,80463,53408,39216,151912,101144,50768,79377,72535,258024,187621,220614,472,422,21,22,7963,61831,596,3077,122267,11350,133617,248131,163565,411696,263576,93189,52744,563,1804,1550,47031,19244,26716,23060,Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,918.8077194920451,53.443220405136415
19,JAMMU AND KASHMIR,554985,296784,258201,322354,197543,124811,138569,56309,243672,163845,79827,152442,91230,311313,489044,59771,1962,3418,106,57,20008,73999,1214,5744,148664,34696,183360,330760,194838,525598,339145,140785,74757,3948,3800,8953,64858,37323,21542,18063,Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,869.9963609898108,58.083371622656465
21,JAMMU AND KASHMIR,1529958,813821,716137,1137135,641916,495219,377991,69193,508622,417456,91166,410344,98278,1021336,1289240,107489,12104,114272,470,1987,197168,294739,19905,46657,254566,248043,502609,1173121,268279,1441400,816827,435895,275585,68272,44063,113156,241206,240478,231365,162522,Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,879.9686909037737,74.32458930245144
23,HIMACHAL PRADESH,519080,261320,257760,323842,186064,137778,111690,135500,294035,158791,135244,119632,174403,225045,479782,32455,1559,2745,1740,57,21458,96082,1615,5117,186395,13836,200231,344427,154575,499002,306555,130606,81566,1657,5074,8880,73995,62233,46292,52553,Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,986.3768559620388,62.3876859058334
24,HIMACHAL PRADESH,1510075,750591,759484,1152640,606443,546197,319385,84564,675170,403756,271414,313915,361255,834905,1461140,19797,3023,8929,14511,194,148361,330081,8053,22753,588321,39007,627328,1176288,271892,1448180,766581,419172,319420,38456,22727,69192,274180,272579,229975,220258,Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,1011.8479971116094,76.32998361008559
